author,title,start_page,end_page
安村 透;牧 秀行;永井 知沙;佐々木 真美,従業員の主体的な業務行動を促進するアプリ開発,4,10
大園 咲奈;中村 優吾;荒川 豊,プレゼンティーイズム改善に向けたスクリーンセーバを用いた体調可視化システムの検討と基礎評価,11,17
曹 蓮;多屋 優人;坂本 優子;本田 由佳;野尻 宗子;中澤 仁,妊産婦を対象にIoHTを活用した歩行行動の変容―Be-TWINKLE studyより―,18,25
Riya Singh;Gao Zexiong;乾 雄貴;柄澤 匠;大越 匡;中澤 仁,Assessing changes in stress levels through competitive gamification of a time management focus technique,26,36
野口 諒介;武本 充治,歩行習慣の動機づけのための行動変容を促すアプリケーション StepUpSyncの設計 / Design of a behavior change application to motivate walking habits application: StepUpSync,37,42
江口 直輝;崔赫 秦;中村 優吾;福嶋 政期;荒川 豊,向社会的なネットワーク利用を説得的に促す公衆Wi-Fiの設計と実装,43,49
坂本 凜;横窪 安奈;道方 孝志;越塚 登,ScaleCity：透明な3次元都市模型を用いた都市データのVisualization,50,57
堀 千咲;濱田 健夫;横窪 安奈;道方 孝志;越塚 登,ウォーカブルシティの歩行空間設計に向けた市民の合意形成のための歩行者シミュレーション,58,64
磯田 祐世;野々村 真誉;山本 佑樹,製造業におけるDX対象の特定と推進のためのDXロードマッピングフレームワークの開発,65,71
野々村 真誉;磯田 祐世;山本 佑樹,分散型多人数教育におけるコミュニケーションの困難さに対する非言語情報獲得技術の適用,72,79
大森 幹真,視線・運動機能からみた英語書字のぎこちなさ,80,80
張 嘉宝;黄 文浩;黄 文浩;柄澤 匠;近藤 綾香;丸井 朱里;柘植 晃;大越 匡,スマートフォン内蔵センサによるWBGT ラベル推定,81,85
近藤 綾香;柄澤 匠;張 嘉宝;丸井 朱里;柘植 晃;大越 匡,環境センシングとバイタルデータ分析による熱中症リスク推定,86,89
浜口 翔伍;柄澤 匠;浜中 智己;佐々木 航;中澤 仁;大越 匡,Stable diffusionを用いた休憩促進システムの提案,90,92
胡 伊端;辻 愛里;藤波香織,行動変容システムの誤動作による不信感に対する寛容性醸成ための擬人化に関する研究,93,96
樋口 朋香;柄澤 匠;浜中 智己;佐々木 航;中澤 仁;大越 匡,衝動買いを抑止するシステムの検証,97,100
中谷 結香;岩井 将行,要介護者と複数介護者をつなぐIoT型サプパットのセンサ実験及び評価,101,104
林 珠里;林 欣誼;大森 幹真,水平方向の変動性からみた書き困難の定量的評価,105,105
